sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
I.26119-003,email,25/03/2058,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26119-003,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",NA,SE of South West Rocks,NA,NA,-30.983333333,153.38333333333,NA,0,dmm,23/03/1983,3,23,1983,23/03/1983 - 23/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,RV Sprightly_3/23/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8083167,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,20.2,25.2,,-1452,google_earth,
I.26120-012,email,25/03/2059,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26120-012,NA,larv,none,1,"New South Wales, Australia",NA,SE of South West Rocks,NA,NA,-31.016666667,153.31666666667,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083193,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,21.2,25.2,,-549,google_earth,
I.26121-010,email,25/03/2060,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26121-010,NA,larv,none,1,"New South Wales, Australia",NA,SE of South West Rocks,NA,NA,-30.983333333,153.25000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083215,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,21.2,25.2,,-181,google_earth,
I.26122-008,email,25/03/2061,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26122-008,NA,larv,none,1,"New South Wales, Australia",NA,SE of South West Rocks,NA,NA,-30.983333333,153.16666666667,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083240,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,21.2,25.2,,-106,google_earth,
I.26124-005,email,25/03/2062,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26124-005,NA,larv,none,1,"New South Wales, Australia",NA,NE of Woolgoolga,NA,NA,-30.050000000,153.55000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,OBLIQUE TOW,500,,,,,,,,#N/A,,NA,0,NA,292,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083272,NA,NA,NA,NA,NA,6/83 hyd data,-30.01667,153.5833,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.56344,21.2,25.2,,-184,google_earth,
I.26129-001,email,25/03/2063,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26129-001,NA,larv,none,1,"New South Wales, Australia",North Solitary Island,South of North Solitary Island,NA,NA,-29.983333333,153.55000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083310,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-146,google_earth,
I.26129-007,email,25/03/2064,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26129-007,NA,larv,none,1,"New South Wales, Australia",North Solitary Island,South of North Solitary Island,NA,NA,-29.983333333,153.55000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8083316,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-146,google_earth,
I.26129-008,email,25/03/2065,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26129-008,NA,larv,none,1,"New South Wales, Australia",North Solitary Island,South of North Solitary Island,NA,NA,-29.983333333,153.55000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083317,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-146,google_earth,
I.26129.031,email,25/03/2066,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26129.031,NA,larv,none,1,"New South Wales, Australia",North Solitary Island,South of North Solitary Island,NA,NA,-29.983333333,153.55000000000,NA,0,dmm,24/03/1983,3,24,1983,24/03/1983 - 24/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,292,1,RV Sprightly_3/24/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8002235,NA,NA,NA,NA,NA,6/83 hyd data,-30.01667,153.5833,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.56344,21.2,25.2,,-146,google_earth,
I.26130-001,email,25/03/2067,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26130-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",North Solitary Island,SE North Solitary Island,NA,NA,-29.983333333,153.43333333333,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083341,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,21.2,25.2,,-83,google_earth,
I.26131-001,email,25/03/2068,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26131-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",NA,E Woolgoolga,NA,NA,-30.116666667,153.46666666667,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,70,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083364,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.4667,65,24-Mar-1983,from average of all depths at these coordinates,NA,35.60175,21.2,25.2,,-105,google_earth,
I.26135-001,email,25/03/2069,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26135-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",NA,NE Corindi,NA,NA,-30.016666667,153.56666666667,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083416,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-199,google_earth,
I.26135-002,email,25/03/2070,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26135-002,NA,larv,none,1,"New South Wales, Australia",NA,NE Corindi,NA,NA,-30.016666667,153.56666666667,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083417,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-199,google_earth,
I.26135-009,email,25/03/2071,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26135-009,NA,larv,none,1,"New South Wales, Australia",NA,NE Corindi,NA,NA,-30.016666667,153.56666666667,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083424,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-199,google_earth,
I.26135.024,email,25/03/2072,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26135.024,NA,larv,none,1,"New South Wales, Australia",NA,NE Corindi,NA,NA,-30.016666667,153.56666666667,NA,0,dmm,25/03/1983,3,25,1983,25/03/1983 - 25/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,R V Sprightly_3/25/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8002236,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,70,25-Mar-1983,from average of all depths at these coordinates,NA,35.5742,22.9,25.1,,-199,google_earth,
I.26140-003,email,25/03/2073,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26140-003,NA,larv,none,1,"New South Wales, Australia",NA,S E Ballina,NA,NA,-28.983333333,153.85000000000,NA,0,dmm,26/03/1983,3,26,1983,26/03/1983 - 26/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/26/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,5,SL,NA,NA,5,NA,NA,NA,8083479,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-219,google_earth,
I.26140-008,email,25/03/2074,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26140-008,NA,larv,none,1,"New South Wales, Australia",NA,S E Ballina,NA,NA,-28.983333333,153.85000000000,NA,0,dmm,26/03/1983,3,26,1983,26/03/1983 - 26/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/26/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,5,SL,NA,NA,5,NA,NA,NA,8083484,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-219,google_earth,
I.26141-009,email,25/03/2075,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26141-009,NA,larv,none,1,"New South Wales, Australia",NA,S E Ballina,NA,NA,-28.983333333,153.78333333333,NA,0,dmm,26/03/1983,3,26,1983,26/03/1983 - 26/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,surface,NA,0,0.5,100,1,R V Sprightly_3/26/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083503,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-106,google_earth,
I.26142-005,email,25/03/2076,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26142-005,NA,larv,none,1,"New South Wales, Australia",NA,S E Ballina,NA,NA,-28.966666667,153.66666666667,NA,0,dmm,26/03/1983,3,26,1983,26/03/1983 - 26/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/26/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083520,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-49,google_earth,
I.26153-007,email,25/03/2077,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26153-007,NA,larv,none,1,"Queensland, Australia",Gold Coast,off Gold Coast,NA,NA,-27.983333333,153.80000000000,NA,0,dmm,27/03/1983 ,3,27,1983,27/03/1983 - 27/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/27/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083602,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-164,google_earth,
I.26154-003,email,25/03/2078,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26154-003,NA,larv,none,1,"Queensland, Australia",Gold Coast,off Gold Coast,NA,NA,-27.983333333,153.60000000000,NA,0,dmm,27/03/1983 ,3,27,1983,27/03/1983 - 27/03/1983,R V Sprightly,SP 06/83,OBLIQUE TOW,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/27/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083622,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-49,google_earth,
I.26156-004,email,25/03/2079,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26156-004,NA,larv,none,1,"Queensland, Australia",Gold Coast,off Gold Coast,NA,NA,-28.000000000,153.80000000000,NA,0,dmm,27/03/1983 ,3,27,1983,27/03/1983 - 27/03/1983,R V Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,100,1,R V Sprightly_3/27/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083641,NA,NA,NA,NA,NA,6/83 hyd data,-28.03333,153.8,70,26-Mar-1983,from average of all depths at these coordinates,NA,35.54478,22.9,25.1,,-132,google_earth,
I.30541-001,email,25/03/2080,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.30541-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"Queensland, Australia",Coral Sea,Just off north end of Yonge Reef,NA,NA,-14.573333333,146.58333333333,NA,0,dms,27/11/1987,11,27,1987,27/11/1987 - 27/11/1987,RV Sunbird,SB 11/87,BONGO NET TOW,,,,,,,,,#N/A,,NA,NA,NA,,1,RV Sunbird_11/27/1987_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8099526,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-192,google_earth,
I.30556-002,email,25/03/2081,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.30556-002,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"Queensland, Australia",Great Barrier Reef,Day Reef lagoon,NA,NA,-14.016666667,145.55000000000,NA,NA,dmm,29/11/1991,11,29,1991,29/11/1991 - 29/11/1991,RV Sunbird,SB 11/91,BONGO NET,,,,,,,,,#N/A,,NA,NA,NA,,1,RV Sunbird_11/29/1991_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8099552,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-2834,google_earth,
I.30557-002,email,25/03/2082,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.30557-002,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"Queensland, Australia",Coral Sea,0.25 nmile off Day Reef,NA,NA,-14.500000000,145.56666666667,NA,NA,dmm,29/11/1991,11,29,1991,29/11/1991 - 29/11/1991,RV Sunbird,SB 11/91,BONGO NET,,,,,,,,,#N/A,,NA,NA,NA,,1,RV Sunbird_11/29/1991_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8099555,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-168,google_earth,
I.30609-007,email,25/03/2083,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.30609-007,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"Queensland, Australia",Coral Sea,"Off lee (W) of Osprey Atoll, near pass into lagoon, 50-300m off the reef",NA,NA,-13.825000000,146.55000000000,NA,NA,dms,15/11/1988,11,15,1988,15/11/1988 - 15/11/1988,RV Sunbird,SB 11/98,BONGO NET,,,0.5,,,,,,#N/A,,NA,NA,NA,,1,RV Sunbird_11/15/1988_NA_NA,NA,NA,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8099606,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-558,google_earth,
I.31383-001,email,25/03/2084,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.31383-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",Coral Sea,1.5K E of Long Reef,NA,NA,-33.740277778,152.08833333333,NA,NA,dms,26/04/1990,4,26,1990,26/04/1990 - 26/04/1990,FRV KAMALA,KM 4/90,CONICAL RING NET,,,0.5,,,,,,#N/A,"0.5 body, 0.25 cod end",NA,0,2,,1,FRV KAMALA_4/26/1990_NA_NA,NA,NA,whole,Australian Museum,"Miskiewicz, Dr. Tony","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8101911,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-5,google_earth,
I.31390-001,email,25/03/2085,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.31390-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",Coral Sea,10K E of Long Reef,NA,NA,-33.740277778,151.96194444444,NA,NA,dms,19/04/1990,4,19,1990,19/04/1990 - 19/04/1990,FRV KAMALA,KM 4/90," CYLINDIRCAL, CONICAL RING NET",,,0.8,,,,,,#N/A,"0.5 body, 0.25 cod end",NA,0,2,,1,FRV KAMALA_4/19/1990_NA_NA,NA,NA,whole,Australian Museum,"Miskiewicz, Dr. Tony","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8101920,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-94,google_earth,
I.32089-001,email,25/03/2086,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.32089-001,NA,larv,none,1,East China Sea,NA,Between Okinawa & Taiwan in Kuroshiro Current,NA,NA,24.810000000,124.08666666667,NA,NA,dms,12/09/1986,12,9,1986,12/09/1986 - 12/09/1986,Hakuho Maru,HM 12/86,NA,,,,,,,,,#N/A,NA,NA,NA,NA,,1,Hakuho Maru_12/9/1986_NA_NA,NA,NA,whole,Australian Museum,NA,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,7,NA,8,SL,NA,NA,8,NA,NA,NA,8104663,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-1746,google_earth,
I.33153-001,email,25/03/2087,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.33153-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Western Indian Ocean,NA,NA,NA,NA,-2.983333333,55.75000000000,NA,NA,dmm,03/05/1974,5,3,1974,03/05/1974 - 03/05/1974,RV Seychelles III,RV Seychelles III_1974,PLANKTON NET (O.5 MM MBH),500,,,,,,,,#N/A,oblique tow,NA,NA,NA,,1,RV Seychelles III_5/3/1974_NA_NA,NA,NA,whole,Australian Museum,NA,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,5,NA,4,SL,NA,NA,4,NA,NA,NA,8107398,NA,NA,NA,NA,NA,,,,,,NA,,,,,,-3609,google_earth,
